ticker,pred
ADESE.IS,0.3153769628508092
AGHOL.IS,0.1924951688678807
AKBNK.IS,0.29381123985695595
AKSA.IS,0.3203501812470639
AKSEN.IS,0.35095404680895753
ALGYO.IS,0.33629738120854713
ALARK.IS,0.41399416785149257
AEFES.IS,0.34888343375518716
ARCLK.IS,0.3312006452129704
ASELS.IS,0.3274444346925108
AYDEM.IS,0.34220897059701477
BERA.IS,0.3272408067348439
BIMAS.IS,0.3544986939057382
BRISA.IS,0.3390601034491625
CCOLA.IS,0.3407893171666888
CEMAS.IS,0.37457623448386923
CIMSA.IS,0.40271095215509733
DOHOL.IS,0.3418990925985005
DOAS.IS,0.40416907326321355
EGEEN.IS,0.3671824172351773
ECILC.IS,0.32828911628164315
EKGYO.IS,0.2951886948203499
ENJSA.IS,0.3251292112085571
ENKAI.IS,0.29944633423844375
ERBOS.IS,0.36007129142436667
EREGL.IS,0.3052987094686723
FROTO.IS,0.36310934655709093
GLYHO.IS,0.5024645017733504
GOZDE.IS,0.26675063717797265
GUBRF.IS,0.22706369832761403
SAHOL.IS,0.3025914528399357
HEKTS.IS,0.27044209812369013
INDES.IS,0.32150942007250005
IPEKE.IS,0.29135741335799253
ISDMR.IS,0.32077618998642643
ISFIN.IS,0.2969127078476922
ISGYO.IS,0.1998570963852282
ISMEN.IS,0.2806400202861517
IZMDC.IS,0.3182651392223651
KRDMD.IS,0.3504100474836777
KARSN.IS,0.28327499308217374
KERVT.IS,0.3251746009980377
KCHOL.IS,0.3003944370953723
KORDS.IS,0.2919624343936814
KOZAL.IS,0.34043903916617735
KOZAA.IS,0.28723096141207083
LOGO.IS,0.3410583721149545
MAVI.IS,0.31889088387904607
MGROS.IS,0.3852351335866786
NTHOL.IS,0.3206024720305095
ODAS.IS,0.33530214332772196
OTKAR.IS,0.25195871192331865
OYAKC.IS,0.2759069572830384
PARSN.IS,0.2940744570449203
PETKM.IS,0.3079008774619606
QUAGR.IS,0.34138663434256095
RTALB.IS,0.22390219729378774
SARKY.IS,0.29413441827215625
SASA.IS,0.28421854357646703
SELEC.IS,0.2723206962516189
SKBNK.IS,0.26822642857072304
SOKM.IS,0.3185572263383182
TAVHL.IS,0.2768298793891468
TKFEN.IS,0.2851482370550544
TKNSA.IS,0.30533942635529315
TOASO.IS,0.34145746779363745
TRGYO.IS,0.15057555463581376
TCELL.IS,0.2853327606941849
TUPRS.IS,0.37071413711492335
THYAO.IS,0.3121458550504259
TTKOM.IS,0.2929735045733691
TTRAK.IS,0.249541580868876
GARAN.IS,0.2288605451280738
HALKB.IS,0.22616029689217063
ISCTR.IS,0.2435118542167823
TURSG.IS,0.20098533260209636
SISE.IS,0.29435017825428705
VAKBN.IS,0.2409958367462845
ULKER.IS,0.21929452634393495
VERUS.IS,0.25363776729843407
VESBE.IS,0.2971105631301053
VESTL.IS,0.27550579317923124
YKBNK.IS,0.22870604338493677
YATAS.IS,0.23366213342902725
ALKIM.IS,0.3088782092880416
