port_num,date,pred,n_ret
1,2022-07-24,0.2377029539498405,0.03556266380612905
1,2022-07-31,0.24066261067959938,0.048812534708771727
1,2022-08-07,0.24302258176095376,0.058709860070464304
1,2022-08-14,0.24043676032073852,-0.0027849096744003154
1,2022-08-21,0.23414301924821995,0.05779574507228971
1,2022-08-28,0.24054857560584772,0.13791561631833393
1,2022-09-04,0.24519558146359452,0.04244550687770935
2,2022-07-24,0.2421641066076624,0.08366878863538729
2,2022-07-31,0.2300250445409675,-0.0013397562657596895
2,2022-08-07,0.2289493490874083,0.04978697703428776
2,2022-08-14,0.23025089489982833,0.0395334574691045
2,2022-08-21,0.24029173124902886,0.022546842009049904
2,2022-08-28,0.24199116400892912,0.0559821786478884
2,2022-09-04,0.21816389997773794,0.07361307448637437
3,2022-07-24,0.2301486389592074,0.10018076586094224
3,2022-07-31,0.24117190534168537,0.007784064104985999
3,2022-08-07,0.24079076693369078,0.049196686170272896
3,2022-08-14,0.22776536304916817,0.04230813512742437
3,2022-08-21,0.2137033101523093,0.050008030804193665
3,2022-08-28,0.19287486185517466,-0.0017382712143681294
3,2022-09-04,0.22953050731496422,0.17347485424123077
4,2022-07-24,0.20436607773097157,0.037012359002361515
4,2022-07-31,0.21415252185242425,-0.001654564353206961
4,2022-08-07,0.2129129348938527,0.11986706568070049
4,2022-08-14,0.2129129348938527,-0.013495855614308577
4,2022-08-21,0.21753994626902992,0.03174196458865349
4,2022-08-28,0.23209153221288126,0.09806681498643777
4,2022-09-04,0.21428156988508246,0.08387524002601243
5,2022-07-24,0.19617613262655445,0.06195485907637022
5,2022-07-31,0.2054181541822989,0.0709182923284291
5,2022-08-07,0.19617613262655445,0.027295277749938285
5,2022-08-14,0.1924951688678807,0.007509367492649632
5,2022-08-21,0.1924951688678807,-0.13043478260869568
5,2022-08-28,0.19617613262655445,0.025363702914511732
5,2022-09-04,0.2216225227375789,0.041431554619611934
6,2022-07-24,0.28268983842849565,0.05556326368707539
6,2022-07-31,0.28041927693670804,-0.01672271344468701
6,2022-08-07,0.2846040194822617,0.06583241038428082
6,2022-08-14,0.2862923679511944,-0.0066699815848985655
6,2022-08-21,0.2864800866433697,0.02619297228363813
6,2022-08-28,0.2864800866433697,0.07376322381173281
6,2022-09-04,0.2892236600094043,0.018106164889839294
7,2022-07-24,0.2841857821673615,0.11680656593766929
7,2022-07-31,0.2905206264478108,0.03636997864925381
7,2022-08-07,0.28929418738503165,0.025797608764839275
7,2022-08-14,0.2872309614120708,-0.11385458546629112
7,2022-08-21,0.2938112398569559,0.060000038146972745
7,2022-08-28,0.2940744570449203,-0.008395065495997334
7,2022-09-04,0.28479012511207574,0.04757463914964666
8,2022-07-24,0.28841848856077057,0.09008178597407379
8,2022-07-31,0.28610816861776656,0.03302236130362263
8,2022-08-07,0.28795017756755037,0.04596054739199751
8,2022-08-14,0.28591618230522414,0.05968499451789453
8,2022-08-21,0.2867730214441736,0.04462428717796493
8,2022-08-28,0.2903073037685639,0.06201885306611421
8,2022-09-04,0.29288683712531866,0.041628140247922496
9,2022-07-24,0.2789851267495507,0.044159554265914815
9,2022-07-31,0.2786377797072074,0.07540744602622662
9,2022-08-07,0.28246187703023024,0.052476391949859424
9,2022-08-14,0.28005243623566023,0.005961855784250569
9,2022-08-21,0.2819575066841627,0.11290912335404257
9,2022-08-28,0.27779228565277897,0.05205300724037413
9,2022-09-04,0.2796312735033478,0.007138787139469804
10,2022-07-24,0.279500055462791,0.031588192627663436
10,2022-07-31,0.27974480396883944,0.016972648134297923
10,2022-08-07,0.27380194163062477,0.1593948082395799
10,2022-08-14,0.2774340401832361,0.03394334403875876
10,2022-08-21,0.27440752918232914,0.08481570661768356
10,2022-08-28,0.27569655192093456,0.03824999353339335
10,2022-09-04,0.27569655192093456,0.020221776416590863
11,2022-07-24,0.30193211057454034,0.07660615991306069
11,2022-07-31,0.29994252161206697,5.041701068457064e-05
11,2022-08-07,0.30092823002917074,0.04966907593617389
11,2022-08-14,0.3046210810297941,0.06314660564869448
11,2022-08-21,0.30952551659381405,0.09510276932569679
11,2022-08-28,0.3117819243455187,-0.005595137351600166
11,2022-09-04,0.3068914706070476,-0.01851849932293566
12,2022-07-24,0.3169670945945637,0.07877995466724641
12,2022-07-31,0.31308792644574923,0.04963722209421142
12,2022-08-07,0.3123274728853994,0.04129082134062739
12,2022-08-14,0.30409613673338753,0.15677737472924255
12,2022-08-21,0.3000321510218044,0.06182649137847481
12,2022-08-28,0.30624376299045725,0.13402895492903233
12,2022-09-04,0.29726442768376427,-0.0022410436091819252
13,2022-07-24,0.3040438578790783,0.05349440357441289
13,2022-07-31,0.2988715746059111,-0.004490331521815993
13,2022-08-07,0.3039654395976144,0.06662329252097177
13,2022-08-14,0.3088293685111823,0.1191074642490771
13,2022-08-21,0.3059129946166048,0.008305462898663962
13,2022-08-28,0.30471568240154856,0.03280686593334803
13,2022-09-04,0.3067670634467903,0.04173553913510479
14,2022-07-24,0.2973175145293968,0.053606322801471706
14,2022-07-31,0.2994463342384437,-0.013698642526479232
14,2022-08-07,0.2973175145293968,0.06661015794265235
14,2022-08-14,0.2973175145293968,0.049227390460999
14,2022-08-21,0.302526240811201,0.055233499161456395
14,2022-08-28,0.29858115841709343,-0.006301543366044715
14,2022-09-04,0.3016386119751487,0.0016018209748331162
15,2022-07-24,0.30846230572791966,0.0306540382924619
15,2022-07-31,0.30514390300102723,0.04249544200994934
15,2022-08-07,0.30846230572791966,0.09843947133333224
15,2022-08-14,0.30846230572791966,0.0312848390523938
15,2022-08-21,0.30846230572791966,0.07890328099618464
15,2022-08-28,0.30931648225905467,0.05840681814246448
15,2022-09-04,0.30931648225905467,0.0632784071545515
16,2022-07-24,0.32741180427401034,0.06707406943234423
16,2022-07-31,0.32718352561498976,0.023855695721292824
16,2022-08-07,0.32718352561498976,0.02991047099913442
16,2022-08-14,0.32444994529583143,0.010150428896159766
16,2022-08-21,0.32817266862916145,0.013750380405603205
16,2022-08-28,0.3262801194794984,0.02494288611031073
16,2022-09-04,0.3298631455209261,0.025348410223371955
17,2022-07-24,0.3312838960937272,0.0066625132872595305
17,2022-07-31,0.3362973812085471,0.004451860142621333
17,2022-08-07,0.3293668328173423,0.05048465880425179
17,2022-08-14,0.3301336581278963,0.035317815457992195
17,2022-08-21,0.33168594794663375,0.014472120298414003
17,2022-08-28,0.33306613187072026,0.015424685296159887
17,2022-09-04,0.3298845023152383,-0.0012925907896325528
18,2022-07-24,0.3404390391661773,0.012812299306854236
18,2022-07-31,0.3368999292761034,-0.0014830213349242838
18,2022-08-21,0.3302847617608312,-0.013190125683745224
18,2022-08-28,0.3203501812470639,-0.031195826919584446
18,2022-09-04,0.33295926418762295,-0.007948695399280725
19,2022-07-24,0.331778668918835,-0.005987245158985299
19,2022-07-31,0.3272456942947765,0.011160788579299669
19,2022-08-07,0.3351596602572731,0.0555023668543595
19,2022-08-14,0.3338595125266433,-0.04382562353289532
19,2022-08-21,0.3305697492068763,0.02922416040295356
19,2022-08-28,0.334539216724166,-0.03958933870088721
19,2022-09-04,0.33483787531210196,0.0191660313240245
20,2022-07-24,0.33010053523940547,0.07898181844596616
20,2022-07-31,0.3325381237374909,0.031841815666571766
20,2022-08-07,0.3314786603369615,0.044151227265264124
20,2022-08-14,0.332742234188995,-0.010186674261544274
20,2022-08-21,0.3314786603369615,0.0418566229686171
20,2022-08-28,0.3322760463507911,0.0031591699655821315
20,2022-09-04,0.32923918368686783,0.05489725830529524
21,2022-07-24,0.351658953944802,0.04665635466176532
21,2022-07-31,0.351658953944802,0.09147699590223357
21,2022-08-07,0.3459337576386575,0.08686180274872501
21,2022-08-14,0.3504100474836777,-0.007259607446205685
21,2022-08-21,0.35524066945402216,0.05619047040175196
21,2022-08-28,0.3504100474836777,-0.003289470588401344
21,2022-09-04,0.35524066945402216,0.0004018320320461899
22,2022-07-24,0.36983189969237507,0.07667722296603656
22,2022-07-31,0.3729642929922678,0.035666919794663354
