index,port_num,pred,n_ret,date
GOZDE.IS,1,0.2667506371779726,0.05231135493100081,2022-07-24
GUBRF.IS,1,0.227063698327614,0.05437663648738633,2022-07-24
ULKER.IS,1,0.2192945263439349,0.0,2022-07-24
OTKAR.IS,2,0.2519587119233186,0.13168917568880767,2022-07-24
TTRAK.IS,2,0.249541580868876,0.049028706073725115,2022-07-24
HALKB.IS,2,0.2261602968921706,0.0336134117055904,2022-07-24
VAKBN.IS,2,0.2409958367462845,0.12034386107342598,2022-07-24
RTALB.IS,3,0.2239021972937877,0.25238106375108726,2022-07-24
ISCTR.IS,3,0.2435118542167823,0.10044638556903429,2022-07-24
TURSG.IS,3,0.2009853326020963,0.026369192488334692,2022-07-24
VERUS.IS,3,0.253637767298434,0.004482242979910955,2022-07-24
YKBNK.IS,3,0.2287060433849367,0.11722494451634402,2022-07-24
TRGYO.IS,4,0.1505755546358137,0.026143765591094548,2022-07-24
GARAN.IS,4,0.2288605451280738,0.0694051348338125,2022-07-24
YATAS.IS,4,0.2336621334290272,0.015488176582177493,2022-07-24
AGHOL.IS,5,0.1924951688678807,0.06049817909297506,2022-07-24
ISGYO.IS,5,0.1998570963852282,0.06341153905976538,2022-07-24
KOZAA.IS,6,0.2872309614120708,0.05398872558678258,2022-07-24
TCELL.IS,6,0.2853327606941849,0.05920668433583387,2022-07-24
VESTL.IS,6,0.2755057931792312,0.053494381138609715,2022-07-24
IPEKE.IS,7,0.2913574133579925,0.028880837424703154,2022-07-24
SKBNK.IS,7,0.268226428570723,0.2592592224662702,2022-07-24
TTKOM.IS,7,0.2929735045733691,0.0622796379220345,2022-07-24
AKBNK.IS,8,0.2938112398569559,0.09228830720514836,2022-07-24
ISMEN.IS,8,0.2806400202861517,0.07588073499392234,2022-07-24
PARSN.IS,8,0.2940744570449203,0.04088997832182906,2022-07-24
TKFEN.IS,8,0.2851482370550544,0.1512681233753954,2022-07-24
OYAKC.IS,9,0.2759069572830384,-0.008500746541290627,2022-07-24
SASA.IS,9,0.284218543576467,0.04135147241447745,2022-07-24
TAVHL.IS,9,0.2768298793891468,0.09962793692455763,2022-07-24
HEKTS.IS,10,0.2704420981236901,0.1274373900510115,2022-07-24
KARSN.IS,10,0.2832749930821737,-0.03566526109810697,2022-07-24
KORDS.IS,10,0.2919624343936814,0.007302243730684221,2022-07-24
SELEC.IS,10,0.2723206962516189,0.027278397827064982,2022-07-24
EREGL.IS,11,0.3052987094686723,0.083975361404373,2022-07-24
KCHOL.IS,11,0.3003944370953723,0.06320139843689798,2022-07-24
PETKM.IS,11,0.3079008774619606,0.08765432156907438,2022-07-24
SARKY.IS,11,0.2941344182721562,0.07159355824189739,2022-07-24
ADESE.IS,12,0.3153769628508092,0.054054001807470664,2022-07-24
SOKM.IS,12,0.3185572263383182,0.10350590752702216,2022-07-24
SAHOL.IS,13,0.3025914528399357,0.09065778749669184,2022-07-24
ISFIN.IS,13,0.2969127078476922,0.09439525762251955,2022-07-24
IZMDC.IS,13,0.3182651392223651,0.036036001204980295,2022-07-24
TKNSA.IS,13,0.3053394263552931,0.02528094214451615,2022-07-24
VESBE.IS,13,0.2971105631301053,0.021102029403356592,2022-07-24
EKGYO.IS,14,0.2951886948203499,0.07118645245848754,2022-07-24
ENKAI.IS,14,0.2994463342384437,0.036026193144455876,2022-07-24
MAVI.IS,15,0.318890883879046,0.0184502072570365,2022-07-24
THYAO.IS,15,0.3121458550504259,0.04401336401323985,2022-07-24
SISE.IS,15,0.294350178254287,0.02949854360710935,2022-07-24
ALGYO.IS,16,0.3362973812085471,0.1154561534782177,2022-07-24
ASELS.IS,16,0.3274444346925108,0.03422755515232456,2022-07-24
ENJSA.IS,16,0.3251292112085571,0.04281348798800533,2022-07-24
ISDMR.IS,16,0.3207761899864264,0.07579908111082934,2022-07-24
INDES.IS,17,0.3215094200725,0.0012150947069333728,2022-07-24
LOGO.IS,17,0.3410583721149545,0.012109931867585688,2022-07-24
KOZAL.IS,18,0.3404390391661773,0.012812299306854236,2022-07-24
ARCLK.IS,19,0.3312006452129704,0.017530511472993116,2022-07-24
BERA.IS,19,0.3272408067348439,0.01401722556615237,2022-07-24
BRISA.IS,19,0.3390601034491625,-0.007411296674003864,2022-07-24
CCOLA.IS,19,0.3407893171666888,-0.008391587050644689,2022-07-24
NTHOL.IS,19,0.3206024720305095,-0.04568107910942343,2022-07-24
AKSA.IS,20,0.3203501812470639,-0.009409738749041718,2022-07-24
ECILC.IS,20,0.3282891162816431,0.14035089587207317,2022-07-24
KERVT.IS,20,0.3251746009980377,0.10047101331565922,2022-07-24
ODAS.IS,20,0.3353021433277219,0.1134969708773168,2022-07-24
QUAGR.IS,20,0.3413866343425609,0.049999950913823366,2022-07-24
FROTO.IS,21,0.3631093465570909,0.03100775193798455,2022-07-24
KRDMD.IS,21,0.3504100474836777,0.04492187972937245,2022-07-24
TOASO.IS,21,0.3414574677936374,0.06403943231793896,2022-07-24
BIMAS.IS,22,0.3544986939057382,0.03353658536585358,2022-07-24
CEMAS.IS,22,0.3745762344838692,0.052631633983975634,2022-07-24
CIMSA.IS,22,0.4027109521550973,0.09589032848199586,2022-07-24
DOHOL.IS,22,0.3418990925985005,0.12316710478118731,2022-07-24
ERBOS.IS,22,0.3600712914243666,0.03603603603603611,2022-07-24
MGROS.IS,22,0.3852351335866786,0.11880164914717084,2022-07-24
TUPRS.IS,23,0.3707141371149233,0.08911326944603037,2022-07-24
AEFES.IS,24,0.3488834337551871,0.048588361591232365,2022-07-24
AYDEM.IS,24,0.3422089705970147,0.019771128079656197,2022-07-24
EGEEN.IS,24,0.3671824172351773,-0.03153055644476499,2022-07-24
GLYHO.IS,24,0.5024645017733504,-0.043613739327240664,2022-07-24
AKSEN.IS,25,0.3509540468089575,-0.00960579202418621,2022-07-24
ALARK.IS,25,0.4139941678514925,0.1116504977971744,2022-07-24
DOAS.IS,25,0.4041690732632135,-0.09414338935711553,2022-07-24
GOZDE.IS,1,0.2667506371779726,0.02312147650399954,2022-07-31
GUBRF.IS,1,0.227063698327614,0.12012582455041265,2022-07-31
TTRAK.IS,1,0.249541580868876,0.04585535166025112,2022-07-31
ULKER.IS,1,0.2192945263439349,0.006147486120423595,2022-07-31
OTKAR.IS,2,0.2519587119233186,-0.016241763971250434,2022-07-31
