ticker,name,sector,sub_sector,city,founding
TUPRS,TÜPRAŞ,İmalat,"Kimya, İlaç, Petrol, Lastik ve Plastik Ürünler",İstanbul,1983
THYAO,Türk Hava Yolları,Havacılık,Ulaştırma ve Depolama,İstanbul,1960
TTKOM,Türk Telekomünikasyon,Teknoloji,Haberleşme,Ankara,1994
TTRAK,Türk Traktör,İmalat,"Metal Eşya, Makine, Elektrikli Cihazlar ve Ulaşım Araçları",Ankara,1954
GARAN,Türkiye Garanti Bankası,Mali Kuruluş,Bankacılık,Istanbul,2008
HALKB,Türkiye Halk Bankası,Mali Kuruluş,Bankacılık,Istanbul,1938
ISCTR,Türkiye İş Bankası,Mali Kuruluş,Bankacılık,Istanbul,1999
TSKB,Türkiye Sınai Kalkınma Bankası,Mali Kuruluş,Bankacılık,Istanbul,1950
TURSG,Türkiye Sigorta,Mali Kuruluş,Sigorta Şirketi,Istanbul,1957
SISE,Türkiye Şişe ve Cam Fabrikaları,İmalat,Taş ve Toprağa Dayalı İmalat,Istanbul,2017
VAKBN,Türkiye Vakıflar Bankası,Mali Kuruluş,Bankacılık,Istanbul,1954
ULKER,Ülker Bisküvi,İmalat,"Gıda, İçecek ve Tütün",Istanbul,1975
VERUS,Verusa Holding,Mali Kuruluş,Holding,Istanbul,2006
VESBE,Vestel Beyaz Eşya,İmalat,"Metal Eşya, Makine, Elektrikli Cihazlar ve Ulaşım Araçları",Istanbul,1997
VESTL,Vestel Elektronik,İmalat,"Metal Eşya, Makine, Elektrikli Cihazlar ve Ulaşım Araçları",Istanbul,1983
YKBNK,Yapı ve Kredi Bankası,Mali Kuruluş,Bankacılık,Istanbul,1944
YATAS,Yataş,İmalat,"Tekstil, Giyim Eşyası ve Dericilik",Istanbul,1987
ZRGYO,Ziraat Gayrimenkul Yatırım Ortaklığı,Mali Kuruluş,Gayrimenkul Yatırım Ortaklığı,Istanbul,2016
