port_num,1day,1week,1month,1year,fun_queue,prc_queue
1,0.025034291679302267,0.10088292961242906,0.11620565617393996,0.88916910053187,worst,worst
2,0.0072423163164141435,-0.005641466819854779,0.012896587433706475,0.5055527215125312,worst,bad
3,0.017656963939942427,-0.015349262278386538,0.0418741316961157,0.9193333104807337,worst,medium
4,0.0054428202536759285,0.006938633720365017,0.02483885416911158,0.24172568782927795,worst,good
5,0.02297315955624855,0.13273514679374784,0.2068128786341818,1.3910751255087148,worst,perfect
6,0.022334253539279054,0.06167097279266839,0.06260799067447409,0.8327090345501001,bad,worst
7,0.029296405635290013,0.09400328407059083,0.1001662068498142,0.9485462235177978,bad,bad
8,0.01274356418171414,0.07103700625629314,0.09400029793496016,1.032757021295128,bad,medium
9,0.006642536158179298,0.10918051789319572,0.14620008593089598,1.1152411314085173,bad,good
10,-0.008472448417001455,0.07054830798387668,0.15051730826810406,1.600968648664895,bad,perfect
11,0.022100496915627394,0.05464265139105621,0.04796243186315804,0.7839133689825911,medium,worst
12,0.019440553306086683,0.06112540724586557,0.06920100052605904,0.808065288284475,medium,bad
13,0.01768859185667737,0.06479714855611785,0.09440295532590055,0.8661988242588,medium,medium
14,0.022313878345459816,0.044848362216680024,0.04775366661482301,0.9388666178215199,medium,good
15,0.021300025818568158,0.07929998244167835,0.1435536496066525,1.3760842447446437,medium,perfect
16,0.017084592042809828,0.0422426254009645,0.0505472499605818,0.9908283512685327,good,worst
17,0.020274682584860048,0.03005247366260755,0.033780840644425214,0.5765425791368484,good,bad
18,0.012005356181035154,0.01156070393632147,0.010226747202180642,0.010226747202180642,good,medium
19,0.024024001663345507,0.02462461602436372,0.02462461602436372,0.025225230385381714,good,good
20,0.018767828222861455,0.04248836432479982,0.11879317824639402,1.1799168013943733,good,perfect
21,0.02160709305575559,0.07867057795595578,0.05628347986984489,0.602434091022467,perfect,worst
22,0.03663391075332534,0.04684254924683673,0.06937336126028781,0.5986527439022982,perfect,bad
23,0.013181152020679265,0.04603421842164296,0.04446065912716929,1.129138899764497,perfect,medium
24,0.025646609386496915,0.03352251730059441,0.04982349431787888,0.9631565179129994,perfect,good
25,0.01853968026269855,0.027302476990692104,0.08057631763224204,1.366219041820319,perfect,perfect
