ticker,returns
ADESE.IS,1.7534242459277776
AGHOL.IS,3.67984748480323
AKBNK.IS,2.997801937991893
AKSA.IS,-0.3592232560243982
AKSEN.IS,0.4648988331548978
ALGYO.IS,1.6675125886823308
ALARK.IS,2.650717793955006
AEFES.IS,2.1912295967856723
ARCLK.IS,-0.206451612903225
ARDYZ.IS,0.6654344700567414
ASELS.IS,1.0464715978632793
AYDEM.IS,1.9459457834010205
BASGZ.IS,0.0
BERA.IS,1.4437690137007335
BIMAS.IS,1.812949387567289
BIOEN.IS,0.0
BRYAT.IS,0.9182964372831464
BRISA.IS,-0.14013401556341476
CCOLA.IS,0.5904059040590406
CEMAS.IS,8.881784197001252e-16
CIMSA.IS,2.737263971056337
DOHOL.IS,1.5151515005559482
DOAS.IS,1.3298700506036916
EGEEN.IS,0.7499249922069842
ECILC.IS,2.8030471504282763
EKGYO.IS,3.8015272621647167
ENJSA.IS,1.0129497998175818
ENKAI.IS,0.10328123470607053
ERBOS.IS,0.5335822186137609
EREGL.IS,0.5020802930280066
ESEN.IS,0.0
FROTO.IS,0.8148147140353341
GENIL.IS,0.0
GESAN.IS,0.0
GLYHO.IS,0.6735754937318452
GOZDE.IS,0.7291139442212806
GUBRF.IS,2.4422809788162807
SAHOL.IS,1.8345249391679488
HEKTS.IS,1.0133982528825998
INDES.IS,0.6674786256728433
IPEKE.IS,0.123404244094373
ISDMR.IS,0.366533737387277
ISFIN.IS,5.886363473189764
ISGYO.IS,1.5769522288685405
ISMEN.IS,2.803117231889205
IZMDC.IS,0.8596491503253194
KRDMD.IS,0.3343466243842048
KARSN.IS,0.6019691429358582
KARTN.IS,0.27708207418335373
KERVT.IS,1.9082572274954304
KRVGD.IS,0.0
KCHOL.IS,1.303580411025207
KORDS.IS,-0.017889087168218687
KOZAL.IS,-0.041666666666666075
KOZAA.IS,0.16920933521493264
LOGO.IS,0.971659753332335
MAVI.IS,2.265578005311725
MGROS.IS,4.122326805518062
NTHOL.IS,-1.3322676295501878e-15
ODAS.IS,2.948805510740187
OTKAR.IS,0.83653119293706
OYAKC.IS,0.9206347716608585
PARSN.IS,0.9732938370680593
PGSUS.IS,1.5865663279780895
PETKM.IS,2.3255813859710477
QUAGR.IS,-0.09523794077189329
RTALB.IS,1.2784391029562832
SARKY.IS,0.5802818161370977
SASA.IS,0.85230211672609
SELEC.IS,1.9030720552066107
SKBNK.IS,13.356521302855977
SOKM.IS,2.0574980402252008
TAVHL.IS,0.8467967947191264
TKFEN.IS,1.870841333886128
TKNSA.IS,2.199181323283626
TOASO.IS,1.5207861494025714
TRGYO.IS,0.574073945298613
TCELL.IS,1.3766086915962559
TUPRS.IS,0.9970193057796601
THYAO.IS,2.0938149490209783
TTKOM.IS,1.1813247582031776
TTRAK.IS,0.3998252865368732
GARAN.IS,2.9350992433889216
HALKB.IS,5.7761988981758705
ISCTR.IS,6.196720728403916
TSKB.IS,8.456140339869874
TURSG.IS,1.9352049380142633
SISE.IS,0.7853883505588408
VAKBN.IS,8.481927240166554
ULKER.IS,0.9676142163655674
VERUS.IS,0.352159413281826
VESBE.IS,-0.1858586084330618
VESTL.IS,1.2015934491770244
YKBNK.IS,3.483606475682966
YATAS.IS,0.8876328994058911
ZRGYO.IS,0.0
ALKIM.IS,1.2602739248802486
