ticker,pred
ADESE.IS,0.4298282163586466
AGHOL.IS,0.48422438531662004
AKBNK.IS,0.4255950276718432
AKSA.IS,0.5408519340488753
AKSEN.IS,0.5053036109428242
ALGYO.IS,0.48114771000646916
ALARK.IS,0.6722019055895847
AEFES.IS,0.45798765167810024
ARCLK.IS,0.4966919934399604
ASELS.IS,0.46602143092741405
BERA.IS,0.48481659477916694
BIMAS.IS,0.4813142691628438
BRYAT.IS,0.44366593618649375
BRISA.IS,0.4651888812812813
CCOLA.IS,0.4459884143456277
CEMAS.IS,0.5094916583901867
CIMSA.IS,0.5191757922929627
DOHOL.IS,0.4533234466160922
DOAS.IS,0.5777465950270678
EGEEN.IS,0.49182137195343467
ECILC.IS,0.4302959392210419
EKGYO.IS,0.4244211774471887
ENKAI.IS,0.3971172586738496
ERBOS.IS,0.4750370279670938
EREGL.IS,0.41368436951324533
FROTO.IS,0.45085181582104117
GLYHO.IS,0.6723072088356956
GOZDE.IS,0.3833698454022999
GUBRF.IS,0.3112967002928765
SAHOL.IS,0.3908117556430421
HEKTS.IS,0.41165620723289487
INDES.IS,0.4492988827081012
IPEKE.IS,0.38969578645792824
ISDMR.IS,0.38933188209122194
ISFIN.IS,0.3811551253624186
ISGYO.IS,0.3171599183542244
ISMEN.IS,0.39999707279982566
IZMDC.IS,1.1818706721543142
KRDMD.IS,0.4152796001506897
KARSN.IS,0.38797957243697034
KARTN.IS,0.507583533648765
KERVT.IS,0.37339678613021954
KCHOL.IS,0.37349567532927863
KORDS.IS,0.36791961857552813
KOZAL.IS,0.40713858248419066
KOZAA.IS,0.36094535307957987
LOGO.IS,0.45092213693232563
MGROS.IS,0.4023466822074703
NTHOL.IS,0.3543229185505423
ODAS.IS,0.5205631776234783
OTKAR.IS,0.3676765127107966
OYAKC.IS,0.4275241095313357
PARSN.IS,0.3412398257165704
PGSUS.IS,0.31421266896551037
PETKM.IS,0.3783044427761391
RTALB.IS,0.46336703710242255
SARKY.IS,0.3276983591780316
SASA.IS,0.4042633356334479
SELEC.IS,0.34399054583875927
SKBNK.IS,0.3194940337630512
TAVHL.IS,0.32692071578842896
TKFEN.IS,0.35773698113190155
TKNSA.IS,0.4265505556447353
TOASO.IS,0.3645982547699246
TRGYO.IS,0.2357079981248235
TCELL.IS,0.3563050750800157
TUPRS.IS,0.3421956809973873
THYAO.IS,0.3347481151538131
TTKOM.IS,0.3385938815814129
TTRAK.IS,0.3429162947427067
GARAN.IS,0.2436188221048411
HALKB.IS,0.2770303897388595
ISCTR.IS,0.2849996861376378
TURSG.IS,0.2948818208589452
SISE.IS,0.31449576805735313
VAKBN.IS,0.28210413637334314
ULKER.IS,0.2378132808437599
VERUS.IS,0.3788252796674
VESBE.IS,0.3055376577493295
VESTL.IS,0.26812901205681333
YKBNK.IS,0.2384994008761349
YATAS.IS,0.2905675944882402
