port_num,1day,1week,1month,1year
1,0.03129472070007733,0.029687017955355666,0.040557593843775885,0.8098527192154312
2,0.02146641905885442,0.022021881542763744,0.04025988986613105,0.7411782114225481
3,0.015624654175187835,0.015480869008398512,0.06521999501022316,0.8045318676080899
4,0.010760475471727371,0.010760475471727371,0.027408870215068326,0.20393229949345443
5,0.06252958111890736,0.0633129199002831,0.16413052615765777,1.321756523511207
6,0.008629184084345912,0.008629184084345912,0.043699883648313044,0.7949514564102099
7,0.02181279139879333,0.02222687954143902,0.03213961519525821,0.8762599849215129
8,0.013713271025878226,0.01351692682892205,0.03013068026238399,0.9143471849589224
9,0.02284917746293247,0.02284917746293247,0.03331248808277759,0.8485818059477075
10,0.0454170942478748,0.045184953813183514,0.09232330985863497,1.690412538193912
11,0.03502082989830768,0.03529495898293822,0.02571368884959176,0.8285771494259299
12,0.02041257999547641,0.02089805278245027,0.023301050341965352,0.5413469174760522
13,0.02716883346874292,0.027051467384898793,0.05658319109081159,1.1942104003712586
14,-0.001630451368248964,-0.0006428869456200359,0.01895867873219237,0.8306306308867182
15,0.0021776438390480233,0.0021776438390480233,0.098619434085134,1.3119196016071122
16,0.09155429012654026,0.09226402957107793,0.09155429012654026,0.09226402957107793
17,0.0368042949086432,0.037083230680250136,0.054856402612932786,0.3384542706084277
18,0.01774496871813554,0.016919867317453912,0.005810055695226561,0.9293564612757771
19,0.027453077380705793,0.029287839299365626,0.05091527211244651,0.8232856957314083
20,0.026456796906645746,0.026456796906645746,0.042209451863208125,0.9455295024571339
21,0.014721824041547694,0.014614199482083113,0.009097490938428265,0.7444195410313267
22,0.023878612998260607,0.024100678151176336,0.0425661429246848,0.6081605286592744
23,-0.009842494802036805,-0.009186311794686208,-0.009186311794686208,-0.009186311794686208
24,0.013432421600128752,0.01325653061363874,0.013605022200873867,0.7328271663037628
25,0.01702545501369109,0.016754723406201544,0.013928880216956855,1.867258352479895
